PIG_RACING |= Pig Racing
UI_Tinker_Description_Herbalist |= Assigning your Apothecary to the Herbalist Specialisation comes with a range of incentives:\n- Increased number of customers at dawn\n- Customers more likely to purchase powder cures\n- Bonus reputation gains when selling powder cures\n- Access to a range of unique shop Perks\nBut some of those natural herbs come with some strange side effects.\nWorking in the Herbalist has a chance to apply the Narcolepsy trait to both you and your staff.
UI_Tinker_Description_ExoticCures |= Assigning your Apothecary to Exotic Cures Specialisation comes with a range of incentives:\n- Increased number of customers in the Evening\n- Customers more likely to purchase cream cures\n- Bonus reputation gains when selling cream cures\n- Access to a range of unique shop Perks\nBut working with the innards of monsters can rub people up the wrong way.\nWorking in the Exotic Cures has a chance to apply the Repel trait to both you and your staff.
UI_Tinker_Description_PotionShop |= Assigning your Apothecary to the Potion Shop Specialisation comes with a range of incentives:\n- Increased number of customers in the Afternoon\n- Customers more likely to purchase potion cures\n- Bonus reputation gains when selling potions cures\n- Access to a range of unique shop Perks\nBut the fumes that come off some of those potions have all sorts of side effects.\nWorking in the Potion Shop has a chance to apply the Illusion trait to both you and your staff.
UI_Tinker_Description_WeaponsStore |= Assigning your Blacksmith to the Weapons Store Specialisation comes with a range of incentives:\n- Increased number of customers in the Evening\n- Customers more likely to purchase weapons\n- Bonus reputation gains when selling weapons\n- Access to a range of unique shop Perks\nBut working long hours in the furnace heat can drain a person relatively quickly.\nWorking in the Weapons Store has a chance to apply the Weakness trait to both you and your staff.
UI_Tinker_Description_ToolShop |= Assigning your Blacksmith to the Tool Shop Specialisation comes with a range of incentives:\n- Increased number of customers in the morning\n- Customers more likely to purchase tools\n- Bonus reputation gains when selling tools\n- Access to a range of unique shop Perks\nBut working long hours in the furnace heat can drain a person relatively quickly.\nWorking in the Tool Shop has a chance to apply the Weakness trait to both you and your staff.
UI_Tinker_Description_JewelryStore |= Assigning your Blacksmith to the Jewellery Store Specialisation comes with a range of incentives:\n- Increased number of customers in the afternoon\n- Customers more likely to purchase jewellery & charms\n- Bonus reputation gains when selling jewellery & charms\n- Access to a range of unique shop Perks\nBut straining your eyes for the sake of those intricate details comes at a price.\nWorking in the Jewellery Store has a chance to apply the Insomnia trait to both you and your staff.

UI_Apothecary_NPCIntro |= Doctor, doctor! I don't feel so good.
UI_Apothecary_NPCIntro[P] |= Hello doctor, I have been rightfully stricken.
UI_Apothecary_NPCIntro[Q] |= Doctor, doctor. I need some help.
UI_Apothecary_NPCIntro[J] |= What's up doc?
UI_Apothecary_NPCIntro[B] |= Hello doctor. Another quality issue for you.
UI_Apothecary_NPCIntro[C] |= Doctor, I have yet another problem.
UI_Apothecary_PotionHelp |= Check the potion's temperature and coloured smoke. Fix any issues before proceeding to the next ingredient.
UI_Apothecary_PipetteHelp |= Pour the contents of the vial into the potion cauldron first.
UI_Apothecary_LeaveStation |= Leave the apothecary station?
UI_Apothecary_CraftingFailed |= Crafting failed.
UI_Apothecary_NewRecipe |= Discovered new apothecary recipe!\n<VAR1>
UI_Apothecary_StoredInventory |= Stored <VAR1> in inventory.
UI_Apothecary_StoredInventoryForced |= Stored <VAR1> in inventory because the shelf is full.
UI_Apothecary_StoredShelf |= Stored <VAR1> on shelf.
UI_Apothecary_StoredAdditionalInventory |= Stored additional <VAR1> in inventory.
UI_Apothecary_StoredAdditionalInventoryForced |= Stored additional <VAR1> in inventory because the shelf is full.
UI_Apothecary_StoredAdditionalShelf |= Stored additional <VAR1> on shelf.
UI_Apothecary_CureDiscarded |= Cure discarded as not worth saving.
UI_Apothecary_Help_SharpImplement |= Sharp implement
UI_Apothecary_Help_Pestle |= Pestle
UI_Apothecary_Help_ColourWheel |= Colour wheel
UI_Apothecary_Help_CauldronTemperature |= Cauldron temperature
UI_Apothecary_Help_CrusherHandle |= Crusher handle
UI_Apothecary_Help_Ingredients |= Ingredients
UI_Apothecary_Help_Carousel |= Carousel
UI_Apothecary_Help_ExtractorBunsen |= Extractor bunsen
UI_Apothecary_Help_WaxBunsen |= Wax bunsen
UI_Apothecary_Help_Pot |= Pot
UI_Apothecary_Craft |= Craft
UI_Apothecary_Placebo |= Placebo
UI_Apothecary_UsePlacebo |= Use a placebo?
UI_Apothecary_RecipesFor |= Highlight recipes for:
UI_Apothecary_ForCombat |= Combat
UI_Apothecary_ForCommerce |= Commerce
UI_Apothecary_ForGossip |= Potins
UI_Apothecary_ForPranks |= Farces
UI_Apothecary_ForRomance |= Romance
UI_Apothecary_CannotMakePotions |= You cannot make potions at this station
UI_Apothecary_CannotMakePowders |= You cannot make powders at this station
UI_Apothecary_CannotMakeCreams |= You cannot make creams at this station
UI_Apothecary_WorkerActive |= Worker active
UI_Apothecary_WorkerActiveDesc |= You can't use this while the store is open
UI_Apothecary_UseStation |= Pay ☎<VAR1> to use this station?
UI_Apothecary_Rent |= Louer
UI_Apothecary_Cures |= Cures <VAR1>
UI_Apothecary_Ingredients |= Ingredients:
UI_Apothecary_NotAvailable |= Pas disponible
UI_Apothecary_RentCost |= Hire the apothecary equipment to create one item for ☎5?
UI_Blacksmith_RentCost |= Hire the blacksmith equipment to create one item for ☎5?
UI_Shop_CannotUse |= Vous ne pouvez pas utiliser ceci
UI_Shop_CannotUseWhy |= You don't own this shop or have not unlocked apprenticeships yet!
UI_Apothecary_Liquid_NotEvenACream |= Very Thick
UI_Apothecary_Liquid_VeryThick |= Very Thick
UI_Apothecary_Liquid_Thick |= Too Thick
UI_Apothecary_Liquid_BitThick |= A Little Thick
UI_Apothecary_Liquid_Perfect |= Parfait
UI_Apothecary_Liquid_Good |= Bon
UI_Apothecary_Liquid_BitRunny |= A Little Runny
UI_Apothecary_Liquid_Runny |= Too Runny
UI_Apothecary_Liquid_VeryRunny |= Very Runny
UI_Apothecary_TooManyChops |= Hold the sharp implement down and swipe left and right to continue slicing the ingredient.
UI_Apothecary_GrindPestle |= Hold the pestle down and rotate to grind until no dust is visible.
UI_Apothecary_BashPestle |= When no more dust is visible, release the pestle and bash it down.

UI_Blacksmith_HitsLeft |= Hits remaining: <VAR1>
UI_Blacksmith_OK |= OK
UI_Blacksmith_Good |= Bien
UI_Blacksmith_Perfect |= Parfait
UI_Blacksmith_Miss |= Raté
UI_Blacksmith_AnvilComplete |= Durabilité <VAR1>
UI_Blacksmith_Max |= MAX
UI_Blacksmith_CoolOK |= Durabilité <VAR1>
UI_Blacksmith_Grind |= Sharpness <VAR1>
UI_Blacksmith_Mould |= Mould
UI_Blacksmith_Sharpness |= Sharpness
UI_Blacksmith_Durabilité |= Durabilité
UI_Blacksmith_Ore |= Ore
UI_Blacksmith_ToInventory |= To Inventory
UI_Blacksmith_ToShelf |= To Shelf
UI_Blacksmith_ToOrders |= To Orders
UI_Blacksmith_ExtraYield |= Extra Yield
UI_Blacksmith_ExtraYieldShelf |= Additional yield added to shelf.
UI_Blacksmith_Broken |= Broken
UI_Blacksmith_BrokenReason |= Your <VAR1> has been destroyed.
UI_Blacksmith_VorpalWarning |= The Vorpal Sword must be made of <VAR1>.
UI_Blacksmith_ViewOrders |= View Orders
UI_Blacksmith_CustomerWaiting |= A customer is waiting...
UI_Blacksmith_HangOn |= "Hang on!"

UI_Cooking_RequiresStove |= Requires stove
UI_Cooking_RequiresOven |= Requires oven
UI_Cooking_Failed |= Cooking Failed
UI_Cooking_Burned |= You burned all the ingredients! Wait for the ingredients to cook, then place the markers in the orange or green zones.
UI_Cooking_Help_Grinder |= Grinder
UI_Cooking_Help_Ingredients |= Ingredients
UI_Cooking_Help_Timer |= Timer
UI_Cooking_Help_Paddle |= Paddle
UI_Cooking_Help_HeatUp |= Heat up
UI_Cooking_Help_HeatDown |= Heat down
UI_Cooking_Help_CookingMeter |= Cooking meter
UI_Cooking_Help_ChoppingBoard |= Chopping board
UI_Cooking_Baking_OK |= Hit the green zones for the best result!
UI_Cooking_Jam_Hot |= Don't let the jam get so hot!
UI_Cooking_Jam_Cold |= Don't let the jam stay so cold!
UI_Cooking_Stew_Overcook |= Don't overcook any ingredients!
UI_Cooking_Rolling_Waste |= Don't waste dough by rolling it too far.
UI_Cooking_TimeUp |= Time's up! Try and chop all of the ingredients into the pot before the time runs out.
UI_Cooking_Grinding_TimeUp |= Time's up! Try and grind all the ingredients before the time runs out.
UI_Cooking_Saved |= One quality star recovered
UI_Cooking_ExtraStar |= Bonus quality star awarded

UI_Table_Tips |= Conseils
UI_Table_Salary |= Staff salary
UI_Table_Quit |= Staff quit - 
UI_Table_AnimalSale |= Animal sale
UI_Table_Patient |= Patient served
UI_Table_Placebo |= Crude
UI_Table_MissingOrder |= Missing order
UI_Table_NoSale |= No sale
UI_Table_NoService |= No service
UI_Table_Decline |= Decline order
UI_Table_Display |= Display
UI_Table_Display_Table |= Table
UI_Table_Display_Graph |= Graph
UI_Table_Item |= Item
UI_Table_Sold |= Sold
UI_Table_Income |= Income
UI_Table_Outgoings |= Outgoings
UI_Table_Profit |= Profit
UI_Table_Rep |= Rep
UI_Table_NoTransactions |= No transactions
UI_Table_Today |= Today
UI_Table_OneWeek |= One week
UI_Table_TwoWeek |= Two week
UI_Table_OneYear |= One year

UI_Collection_BookCollected |= Book collected

UI_Inventory_ClearFilter |= Clear Filter
UI_Inventory_NoFilter |= No Filter
UI_Inventory_FilterTraits |= Filter Known Traits
UI_Inventory_FilterRecipe |= Filter current recipe
UI_Inventory_BottleContains |= Contient <VAR1>
UI_Inventory_Storage |= Stockage
UI_Inventory_Ingredients |= Ingrédients
UI_Inventory_Food |= Nourriture
UI_Inventory_Items |= Items
UI_Inventory_Equipment |= Equipment
UI_Inventory_Collections |= Collections
UI_Inventory_Proverb |= Proverbs
UI_Inventory_Books |= Livres
UI_Inventory_VerbSomething |= <VAR1> <VAR2>?
UI_Inventory_Recipes |= Recettes
UI_Inventory_KeyItems |= Key Items
UI_Inventory_FruitVeg |= Fruit 'n' Veg
UI_Inventory_Fish |= Poisson
UI_Inventory_Herbs |= Herbes
UI_Inventory_CookedFood |= Cooked Food
UI_Inventory_Tools |= Outils
UI_Inventory_Ore |= Minerai
UI_Inventory_Cures |= Cures
UI_Inventory_Containers |= Conteneurs
UI_Inventory_Weapons |= Armes
UI_Inventory_Arcane |= Arcane
UI_Inventory_Seeds |= Graines
UI_Inventory_Flowers |= Fleurs
UI_Inventory_Gifts |= Cadeaux
UI_Inventory_Apothecary |= Apothicaire
UI_Inventory_MonsterParts |= Monster Parts
UI_Inventory_Insects |= Insectes
UI_Inventory_LoreBooks |= Lore Books
UI_Inventory_UsefulBooks |= Useful Books
UI_Inventory_NonsenseBooks |= Nonsense Books
UI_Inventory_Miscellaneous |= Miscellaneous
UI_Inventory_BSShelf |= Étagère
UI_Inventory_BSOrders |= For Orders
UI_Inventory_BSMaterials |= Matériaux
UI_Inventory_DragTo |= Drag to the hotbar to equip
UI_Inventory_CannotUse |= <VAR1> cannot be used from the inventory.
UI_Inventory_ReadMore |= Open to read more

UI_Bottle_Collect |= Collecter
UI_Bottle_Keep |= Garder
UI_Bottle_AlreadyCollected |= Déjà collecté.
UI_Bottle_NewInsect |= Nouvel insecte trouvé!

UI_Travel |= Voyage
UI_Travel_Home |= Travel back home?
UI_Travel_Circle |= Travel to The Circle?
UI_Travel_Terrarium |= Enter the Terrarium?
UI_Travel_TerrariumReturn |= Leave the Terrarium?

UI_Map_Hub |= Hub
UI_Map_WorldMap |= Carte du monde
UI_Map_GoddessStatue |= •Goddess statue
UI_Map_Rootway |= •Rootway
UI_Map_Outhouse |= •Outhouse
UI_Map_Unknown |= Unvisited
UI_Map_World |= Quill
UI_Map_Travel |= Travel to <VAR1>
UI_Map_NoRootway |= •No rootway
UI_Map_NoOuthouse |= •No outhouse
UI_Map_NoGoddess |= •No Goddess statue

UI_Event_ConfirmEntries |= Confirm entries?

UI_Items_LevelAchieved |= <VAR1> niveau atteint!
UI_Items_Level |= Niveau <VAR1>

UI_Character_Name |= Nom
UI_Character_Family |= Famille
UI_Character_Skills |= Progression du Joueur
UI_Character_Stats |= Stats
UI_Character_Home |= Home
UI_Character_Traits |= Traits
UI_Character_PermanentTraits |= Permanent traits
UI_Character_TemporaryTraits |= Temporary traits
UI_Character_Hair |= Cheveux
UI_Character_Skin |= Peau
UI_Character_WhoAreYou |= Qui etes-vous?
UI_Character_WhatName |= Quel est votre nom?
UI_Character_NameA |= Robin
UI_Character_NameB |= Robyn

UI_Time_AM |= am
UI_Time_PM |= pm
UI_Time_Today |= Aujourd'hui
UI_Time_Tomorrow |= Demain
UI_Time_today |= aujourd'hui
UI_Time_tomorrow |= demain
UI_Time_YearsOld |= <VAR1> ans
UI_Time_Night |= Nuit
UI_Time_Dawn |= Aube
UI_Time_Morning |= Matin
UI_Time_Noon |= Midi
UI_Time_Afternoon |= Après midi
UI_Time_Dusk |= Crépuscule
UI_Time_Evening |= Soir

UI_FamilyLedger_Orders |= Orders
UI_FamilyLedger_Gathering |= Gathering
UI_FamilyLedger_Experience |= Experience
UI_FamilyLedger_Destination |= Destination
UI_FamilyLedger_SelectDestination |= Select destination
UI_FamilyLedger_LocationExperience |= Location experience
UI_FamilyLedger_MaximumQuality |= Maximum quality
UI_FamilyLedger_LoadOut |= Chargement
UI_FamilyLedger_Progress |= Progrès
UI_FamilyLedger_Duration |= Durée
UI_FamilyLedger_BeginGathering |= Begin gathering
UI_FamilyLedger_CivilisedQuill |= Civilised Quill
UI_FamilyLedger_PerilousQuill |= Perilous Quill
UI_FamilyLedger_FaeRealms |= Fae Realms
UI_FamilyLedger_Item |= Item
UI_FamilyLedger_Meal |= Meal
UI_FamilyLedger_Orders_Help |= Each family member has their own page in this section, though babies cannot be given orders, you monster.\nSimply choose which thing you want them to do and click in the empty sections of the scheduler. You can drag-click to cover multiple sections. Simply click again to blank a filled section if you want it empty.
UI_FamilyLedger_Gathering_Help |= Gathering expeditions let you send you family members - except babies - out into the world to collect valuable items and maybe even to learn something!\nThe Vale is the default region as it is safe and familiar to all, but you can change this to send them off to other places that you have discovered. Be aware though, kids cannot go into perilous areas such as Simplewood - much too dangerous!\nThe stars underneath the Destination name show the maximum quality of the items that the Gatherer can bring back at the end of an expedition to that region. The number of stars is increased with the Gatherer's Experience. Some experience is gained each time a region is visited, but the amount gained depends on the person's success (if in a Perilous area) and upon their Mood - they will learn much more quickly if they are happy about going! \nThe Gatherer's Stats are listed on the right-hand page. Stats that are relevant to success in the selected destination region are highlighted. If these seem particularly low then it may be better to raise these stats - temporarily with the Meal from the Outfit, or permanently by completing Orders - before sending the Gatherer to that Destination.\nStats that have been temporarily improved will be shown in green, whereas those that have been lowered will be red.\nThe three Outfit slots allow you to give equipment and food to the Gatherer to help with their expedition and give some control over the items that they bring back.\nThe first two slots are for tools - each tool allows the Gatherer to collect any five items that you would be able to collect when using that tool in the selected Destination region.\nIf nothing is placed in the tool slots then the Gatherer will return with up to ten items that can be collected by hand: flowers, fruit or herbs.\nThe three Health Hearts show the Gatherer's fitness for combat. One Heart is lost each time a person is injured when fighting monsters. After three serious injuries the Gatherer will return home in a bad mood, and will take to their bed until fully recovered. Of course, you can give them 'get well soon' presents while they are there.\nFinally, the Progress bar shows how long the Gatherer will be away from home. Once they've set off there is no calling them back - so be sure you can spare them for a while before you send them!
UI_FamilyLedger_Loot |= Loot <VAR1>
UI_FamilyLedger_NoDestination |= Select a destination for gathering.
UI_FamilyLedger_EquipItem |= A tool can be equipped in the loadout.
UI_FamilyLedger_EquipWeapon |= A weapon must be equipped in the loadout.
UI_FamilyLedger_EquipMeal |= Take a meal to boost stats.
UI_FamilyLedger_ReadyToGo |= Ready to go!
UI_FamilyLedger_Frog |= <VAR1> is a frog and cannot go gathering.
UI_FamilyLedger_Injured |= <VAR1> is injured and cannot go gathering.
UI_FamilyLedger_Baby |= Babies cannot go gathering.
UI_FamilyLedger_Complete |= Mission Complete
UI_FamilyLedger_LarderOverflow |= Larder Overflow
UI_FamilyLedger_GatheringExperience |= <VAR1> Experience +<VAR2>
UI_FamilyLedger_GatheringLevelUp |= <VAR1> Level Up
UI_FamilyLedger_GatheringLevelDesc |= Maximum star rating increased.
UI_FamilyLedger_Stat |= Stat
UI_FamilyLedger_WeeklyXP |= Weekly XP
UI_FamilyLedger_NoSpouseXP |= Your spouse does not earn XP.
UI_FamilyLedger_ShowMood |= Show Mood
UI_FamilyLedger_HideMood |= Hide Mood

UI_FamilyLedger_Orders_Presets |= Presets
UI_FamilyLedger_Orders_CareForPets |= Care for pets
UI_FamilyLedger_Orders_CollectHoney |= Collect honey
UI_FamilyLedger_Orders_CookForFamily |= Cook for family
UI_FamilyLedger_Orders_CookForSale |= Cook for sale
UI_FamilyLedger_Orders_MealBreak |= Meal break
UI_FamilyLedger_Orders_Farm |= Ferme
UI_FamilyLedger_Orders_Garden |= Jardin
UI_FamilyLedger_Orders_MakeOffering |= Make offering
UI_FamilyLedger_Orders_MilkCow |= Milk cow
UI_FamilyLedger_Orders_Relax |= Relax
UI_FamilyLedger_Orders_Sleep |= Sleep
UI_FamilyLedger_Orders_KidsExplore |= Explorer
UI_FamilyLedger_Orders_KidsSocialise |= Socialiser
UI_FamilyLedger_Orders_KidsStudy |= Étudier
UI_FamilyLedger_Orders_CareForPets_Desc |= Pet animals; use lowest quality items to feed them. Animals go hungry if there's no time to visit them. Hard work: Mood -1 and lowers Energy.
UI_FamilyLedger_Orders_CollectHoney_Desc |= Collect and store honey until there is no honey to collect, or space in the larder to store it. Dangerous work: Mood -1 and lowers Energy; kid's Accuracy +2XP.
UI_FamilyLedger_Orders_CookForFamily_Desc |= Use low-quality items to prepare meals from the cookbook. Meal placed on the table for the family to share until replaced by another meal, or at midnight. Family members need only one meal per day. Social: Mood +2 and lowers Energy.
UI_FamilyLedger_Orders_CookForSale_Desc |= Use high-quality items to prepare meals. Assign recipe categories to suit your needs. Stressful: Mood -1 and lowers Energy.
UI_FamilyLedger_Orders_MealBreak_Desc |= Take a portion of the family meal or grab a raw, low-quality food item from the larder. Only one meal per day is needed unless changing trait boosts. Social: Mood +2.
UI_FamilyLedger_Orders_Farm_Desc |= Water crops then harvest fruit for the larder. Hard work: Mood -1 and lowers Energy; kid's Stamina +2XP.
UI_FamilyLedger_Orders_Garden_Desc |= Tend a fruit bush, herb or tomato plant and increase its quality by up to 1. Dull: Mood -1 and lowers Energy; kid's Accuracy + 1XP, Stamina +1XP.
UI_FamilyLedger_Orders_MakeOffering_Desc |= Use a low-quality item to place a gift in Pott's bowl. Fulfilling: Mood +2.
UI_FamilyLedger_Orders_MilkCow_Desc |= Collect and store milk until there is no milk to collect or space in the larder to store it. Hard work: Mood -1 and lowers Energy; kid's Accuracy + 1XP.
UI_FamilyLedger_Orders_Relax_Desc |= Free time. Mood +3 and Energy replenished by 25%.
UI_FamilyLedger_Orders_Sleep_Desc |= Adults need at least 6 hours of sleep to restore Energy. Kids must have 9 hours. Relaxing: Mood +1, replenishes Energy.
UI_FamilyLedger_Orders_KidsExplore_Desc |= Learn the lie of the land in preparation for Gathering missions. Mood -1 and lowers Energy; Constitution + 1XP; Speed +1XP.
UI_FamilyLedger_Orders_KidsSocialise_Desc |= Encourage your kids to spend time with the locals, increasing Charm. Stressful: Mood -1 and lowers Energy; Charm +2XP.
UI_FamilyLedger_Orders_KidsStudy_Desc |= Homework: Mood -1, Intelligence +2XP.
UI_FamilyLedger_Orders_CookForSale_Bread |= Pain
UI_FamilyLedger_Orders_CookForSale_Jam |= Confiture
UI_FamilyLedger_Orders_CookForSale_Pie |= Tarte
UI_FamilyLedger_Orders_CookForSale_Pudding |= Pudding
UI_FamilyLedger_Orders_CookForSale_Sandwich |= Sandwich
UI_FamilyLedger_Orders_CookForSale_Soup |= Soupe
UI_FamilyLedger_Orders_CookForSale_Stew |= Ragoût
UI_FamilyLedger_Orders_Carefree |= Insouciant
UI_FamilyLedger_Orders_AdultChef |= Chef
UI_FamilyLedger_Orders_KidsChef |= Chef
UI_FamilyLedger_Orders_AdultFarmer |= Fermier
UI_FamilyLedger_Orders_KidsFarmer |= Fermier
UI_FamilyLedger_Orders_AdultGardener |= Jardinier
UI_FamilyLedger_Orders_KidsGardener |= Jardinier
UI_FamilyLedger_Orders_AdultHomemaker |= Ménager
UI_FamilyLedger_Orders_KidsHomemaker |= Ménager
UI_FamilyLedger_Orders_KidsPetPal |= Pet pal
UI_FamilyLedger_Orders_AdultPetPal |= Pet pal
UI_FamilyLedger_Orders_KidsAcademic |= Académique
UI_FamilyLedger_Orders_KidsAventurer |= Aventurier

UI_GoddessOfferings_Boon |= Boon
UI_GoddessOfferings_Curse |= Curse
UI_GoddessOfferings_Offerings |= Offerings
UI_GoddessOfferings_Offer |= Offer
UI_GoddessOfferings_OfferItem |= Offer item
UI_GoddessOfferings_RemoveItem |= Remove item
UI_GoddessOfferings_NoItems |= Select boons and offer items before confirming.
UI_GoddessOfferings_NoItems |= You do not have any items to offer for this boon.
UI_GoddessOfferings_WrongDay |= Return on Goddess Day to make offerings.
UI_GoddessOfferings_ConfirmSingle |= Make 1 offering?
UI_GoddessOfferings_ConfirmMultiple |= Make <VAR1> offerings?
UI_GoddessOfferings_CancelOfferings |= Leave without offering?
UI_GoddessOfferings_MakeOfferings |= Make Offerings
UI_GoddessOfferings_ViewOfferings |= View Offerings
UI_GoddessOfferings_MainQuestion |= What do you want to do?
UI_GoddessOfferings_TravelButton |= Travel for 1 <item:Apple>

UI_Interact_Bake |= Cuire
UI_Interact_Cook |= Cuisiner
UI_Interact_Store |= Boutique
UI_Interact_Pickup |= Pick up
UI_Interact_Interact |= Interagir
UI_Interact_Dismiss |= Rejeter
UI_Interact_Teleport |= Téléporter
UI_Interact_Offer |= Offre
UI_Interact_Craft |= Craft
UI_Interact_Grind |= Moudre
UI_Interact_Infuse |= Infuser
UI_Interact_Mix |= Mixer
UI_Interact_Distill |= Distiller
UI_Interact_Bid |= Bid
UI_Interact_Finish |= Finir
UI_Interact_Knock |= Frappe
UI_Interact_Map |= Carte
UI_Interact_Check |= Vérifier
UI_Interact_Shake |= Secouer
UI_Interact_Plant |= Plante
UI_Interact_Stock |= Stock
UI_Interact_Sell |= Vendre

UI_Ledger_AllLedgers |= All ledgers
UI_Ledger_Accounts |= Accounts
UI_Ledger_Timescale |= Timescale
UI_Ledger_Staff |= Staff
UI_Ledger_Hire |= Hire
UI_Ledger_ForHire |= For hire
UI_Ledger_HireQuestion |= Hire <VAR1> for ☎<VAR2>/hour?
UI_Ledger_Fire |= Fire
UI_Ledger_ChangePay |= Change Pay
UI_Ledger_HourlyPay |= Set <VAR1>'s hourly pay:
UI_Ledger_NPCPayChoice |= Set Expected
UI_Ledger_FireQuestion |= Fire <VAR1>?
UI_Ledger_PayHour |= Pay/Hour
UI_Ledger_Energy |= Energy
UI_Ledger_GoodsStoreLevel |= Goods Store Level
UI_Ledger_ApothecaryLevel |= Apothecary Level
UI_Ledger_BlacksmithLevel |= Blacksmith Level
UI_Ledger_TavernLevel |= Tavern level
UI_Ledger_Orders |= Orders
UI_Ledger_Orders_Upcoming |= Upcoming
UI_Ledger_Orders_DueToday |= Due today
UI_Ledger_OpenLedger |= Open Ledger
UI_Ledger_RenameShop |= Rename Shop
UI_Ledger_Sell |= Vendre
UI_Ledger_SellShop |= Vendre la Boutique
UI_Ledger_SellQuestion |= Vendre <VAR1> pour ☎<VAR2>?
UI_Ledger_Reputation |= Reputation and Customer Catchment
UI_Ledger_Rank |= Rank <VAR1>
UI_Ledger_PerkPoints |= Perk Points
UI_Ledger_PerkPointGet_GoodsStore |= Goods Stores gained a Perk Point
UI_Ledger_PerkPointGet_Blacksmith |= Blacksmiths gained a Perk Point
UI_Ledger_PerkPointGet_Apothecary |= Apothecaries gained a Perk Point
UI_Ledger_PerkPointGet_Tavern |= Taverns gained a Perk Point
UI_Ledger_Rota_AM |= AM rota
UI_Ledger_Rota_PM |= PM rota
UI_Ledger_Rota_Staff |= Staff:
UI_Ledger_Rota_NoStaff |= This shop has no staff.
UI_Ledger_Rota_TimeA |= 12-3am
UI_Ledger_Rota_TimeB |= 3-6am
UI_Ledger_Rota_TimeC |= 6-9am
UI_Ledger_Rota_TimeD |= 9-12pm
UI_Ledger_Rota_TimeE |= 12-3pm
UI_Ledger_Rota_TimeF |= 3-6pm
UI_Ledger_Rota_TimeG |= 6-9pm
UI_Ledger_Rota_TimeH |= 9-12am
UI_Ledger_Specialisation |= Specialisation
UI_Ledger_NoSpecialisation |= No specialisation
UI_Ledger_MinimumRep |= Min REP: <VAR1> at ☎<VAR2>
UI_Ledger_MaximumRep |= Max REP: <VAR1> at ☎<VAR2>
UI_Apoth_Cure |= Cure
UI_Apoth_PartialCure |= Partial Cure
UI_Apoth_FailedCure |= Failed Cure
UI_Apoth_Placebo |= Placebo
UI_ApothAilmentInfo |= <VAR1> patient for ☎<VAR2> and <VAR3> rep
UI_ApothAilmentInfoPlural |= <VAR1> patients for ☎<VAR2> and <VAR3> rep

UI_Mail_OpenGift |= Cadeau Ouvert
UI_Mail_Unread |= Non lu
UI_Mail_Archive |= Archive
UI_Mail_WaitGift |= Attendez un instant... qu'est-ce que c'est?

UI_NoticeBoard_AddTask |= Ajouter une tâche
UI_NoticeBoard_AddCalendar |= Ajouter au calendrier

UI_Skills_Acquired |= Acquis
UI_Skills_Locked |= Locked
UI_Skills_NotImplemented |= Not implemented
UI_Skills_AcquireAboveSkills |= Acquire the skills above to unlock.
UI_Skills_SeekMaster |= Seek out <VAR1> to learn more about this skill tree.
UI_Skills_VisitMaster |= Visit <VAR1> to gift items and acquire this skill.
UI_Skills_Gardening |= Gardening
UI_Skills_Fishing |= Fishing
UI_Skills_Cooking |= Cooking
UI_Skills_Melee |= Melee
UI_Skills_Ranged |= Ranged
UI_Skills_Explore |= Exploration
UI_Skills_GiftToMaster |= Gift Items to Master
UI_Skills_VisitMasterToGift |= Visit master to gift

UI_Storage_Larder |= Larder
UI_Storage_Stock |= Stock
UI_Storage_Materials |= Materials Cabinet
UI_Storage_Blacksmith |= Blacksmith
UI_Storage_GoodsStore |= Goods Store
UI_Storage_Order |= Order Stock
UI_Storage_OrderMaterials |= Order Materials
UI_Storage_Order_Locked |= You need to unlock Stock Quality 01 perk for this.
UI_Storage_ToggleStorage |= Storage
UI_Storage_Inventory |= Inventory
UI_Storage_MoveOne |= Move One
UI_Storage_MoveStack |= Move Stack
UI_Storage_GluttonsTrough |= Glutton's Trough
UI_Storage_ContainerEmpty |= This container is empty

UI_Calendar_TodayIs |= Aujourd'hui c'est
UI_Calendar_UnknownBirthday |= Anniversaire Inconnu
UI_Calendar_Birthday |= <VAR1> Anniversaire
UI_Calendar_Calendar |= Calendrier
UI_Calendar_Tasks |= Tâches
UI_Calendar_Tasks_Remove |= Supprimer la Tâche
UI_Calendar_Tasks_SetActive |= Set Thatterway
UI_Calendar_Tasks_UnsetActive |= Unset Thatterway
UI_Calendar_Tasks_Pin |= Pin to HUD
UI_Calendar_Tasks_Unpin |= Unpin Task
UI_Calendar_Tasks_All |= Tout
UI_Calendar_Tasks_Special |= Spécial
UI_Calendar_Tasks_Weekly |= Weekly
UI_Calendar_Tasks_Daily |= Daily
UI_Calendar_Tasks_AllTitle |= All Tasks
UI_Calendar_Tasks_StoryTitle |= Story Tasks
UI_Calendar_Tasks_NoticeboardTitle |= Noticeboard Tasks
UI_Calendar_Tasks_NPCTitle |= NPC Tasks
UI_Calendar_Tasks_EventTitle |= Event Tasks
UI_Calendar_Tasks_MiscTitle |= Miscellaneous Tasks
UI_Calendar_Tasks_Reward |= Reward:

UI_MarriagePicker_EventsOnThatDay |= Events on that day
UI_MarriagePicker_AcceptDate |= Accept date
UI_MarriagePicker_Confirm |= Get married on <VAR1>?

UI_Title_NewGame |= Nouveau jeu
UI_Title_Continue |= Continuer
UI_Title_Load |= Charger
