JournalInstructionsTitle |= Journal
GS_ThanksPositive |= A great deal!
GS_ThanksNeutral |= Thanks for that.
GS_ThanksNeutral |= Fair enough.
GS_ThanksNeutral |= Cheers!
GS_ThanksNeutral |= Farewell.
GS_ThanksNeutral |= That'll do.
GS_ThanksNeutral |= That's ok.
GS_ThanksNeutral |= I guess it's fine.
GS_ThanksNegative |= Not happy!
GS_ThanksNegative |= Bit of a rip-off.
GS_ThanksNegative |= Not as good as I hoped.
GS_ThanksNegative |= Bad Bogle review incoming.
GS_ThanksNegative |= Unhappy.
GS_ThanksNegative |= Hrrrmph!
GS_ThanksNegative |= Rubbish!
GS_ThanksNegative |= Must do better
GS_PriceNever |= I'd never pay that much
GS_GOINSIDE |= Ooh, I wonder what they have.
GS_GOINSIDE |= That looks interesting.
GS_GOINSIDE |= I might need to go in.
GS_GOINSIDE |= Oh, what's that?
GS_GOINSIDE |= Nice things in there.
GS_GOINSIDE |= I feel the need to buy something.
GS_GOINSIDE |= Ooh nice!
GS_GOINSIDE |= Lovely stuff.
GS_GOINSIDE |= Nice display.
GS_GOINSIDE |= Always wanted one of those.
GS_GOINSIDE |= Just browsing.
GS_GOINSIDE |= A quick peek won't hurt.
GS_GOINSIDE |= Just looking.
GS_GOINSIDE |= Having a gander.
GS_GOINSIDE |= Hmmmm.
GS_GOINSIDE |= Wonder if there's anything good.
GS_GOINSIDE |= Just a quick look.
GS_GOINSIDE |= Hmmm what can I see?
GS_STAYOUTSIDE |= Dirty windows!
GS_STAYOUTSIDE |= Not much in there.
GS_STAYOUTSIDE |= That looks ropey.
GS_STAYOUTSIDE |= Pah! Tat!
GS_STAYOUTSIDE |= Nothing of interest.
GS_STAYOUTSIDE |= Looks bad in there.
GS_STAYOUTSIDE |= Nothing exciting.
GS_STAYOUTSIDE |= Could be better.
GS_STAYOUTSIDE |= A load of rubbish
GS_STAYOUTSIDE |= Hmmm trash really
GS_STAYOUTSIDE |= Bit of a con
GS_AWAITING_SERVICE |= Looking to barter
GS_AWAITING_SERVICE |= Ready to haggle?
GS_AWAITING_SERVICE |= Let's haggle
GS_AWAITING_SERVICE |= Let's discuss that price.
GS_AWAITING_SERVICE |= Shall we bargain?
GS_AWAITING_SERVICE_NO_BARTER |= Can I buy this?
GS_TRADE_AWAITING_SERVICE |= Want to trade
GS_TRADE_AWAITING_SERVICE |= Have something for you
GS_TRADE_AWAITING_SERVICE |= Want to buy this?
GS_TRADE_AWAITING_SERVICE |= Will you buy this from me?
GS_TRADE_AWAITING_SERVICE |= Here... have a look at this
GS_TRADE_AWAITING_SERVICE |= Got sommat for you to buy
GS_TRADE_AWAITING_SERVICE |= Buy this?
GS_LOOK_AT_FISH |= Is it fresh?
GS_LOOK_AT_FISH |= Ooh fish.
GS_LOOK_AT_FISH |= Hmmm should I buy some fish?
GS_LOOK_AT_FISH |= I see fish for sale.
GS_LOOK_AT_FISH |= Do I buy? Heads or tails?
GS_LOOK_AT_FISH |= Something fishy here.
GS_LOOK_AT_FISH |= Do you have the turbot edition?
GS_LOOK_AT_FISH |= Smelly!
GS_LOOK_AT_WEAPON |= That looks dangerous.
GS_LOOK_AT_WEAPON |= Could be useful.
GS_LOOK_AT_WEAPON |= I like the look of that.
GS_LOOK_AT_WEAPON |= Looks sharp!
GS_LOOK_AT_WEAPON |= Do I really need that?
GS_LOOK_AT_WEAPON |= Just for show.
GS_LOOK_AT_WEAPON |= Beware you monsters!
GS_LOOK_AT_WEAPON |= Nice edge.
GS_LOOK_AT_WEAPON |= Looks edgy.
GS_LOOK_AT_BOOK |= Looks interesting.
GS_LOOK_AT_BOOK |= Sends shivers down my spine.
GS_LOOK_AT_BOOK |= A nice collection of pages, there.
GS_LOOK_AT_BOOK |= Got to buy the write one.
GS_LOOK_AT_BOOK |= Could do with a new book.
GS_LOOK_AT_BOOK |= If only I could read.
GS_LOOK_AT_BOOK |= Smells musty.
GS_LOOK_AT_BOOK |= Will mark that for purchase.
GS_LOOK_AT_BOOK |= To me!
GS_LOOK_AT_BOOK |= Ooh, a first edition.
GS_LOOK_AT_TOOL |= Nice tool.
GS_LOOK_AT_TOOL |= Looks useful.
GS_LOOK_AT_TOOL |= What a bunch of tools.
GS_LOOK_AT_TOOL |= Hmmm could be useful.
GS_LOOK_AT_TOOL |= Do I need a new one?
GS_LOOK_AT_ITEM |= Interesting...
GS_LOOK_AT_ITEM |= Could be useful?
GS_LOOK_AT_ITEM |= Oh they have one of those?
GS_LOOK_AT_ITEM |= I go through so many of those.
GS_LOOK_AT_ITEM |= Not sure whether to buy that.
GS_LOOK_AT_ITEM |= Hmmm...
GS_LOOK_AT_ITEM |= Looks like a general item to me.
GS_LOOK_AT_ITEM |= Might make a nice gift.
GS_LOOK_AT_ITEM |= Wonder if that's any good?
GS_LOOK_AT_COOKED |= That looks yum.
GS_LOOK_AT_COOKED |= Can't beat cooked food.
GS_LOOK_AT_COOKED |= Can smell it from here.
GS_LOOK_AT_COOKED |= Wonder if it's freshly made?
GS_LOOK_AT_COOKED |= Oooh cooked stuff.
GS_LOOK_AT_COOKED |= Wonder if it tastes good.
GS_LOOK_AT_COOKED |= Oooh they sell meals.
GS_WORKER_UNHAPPY |= I am so bored.
GS_WORKER_UNHAPPY |= Uggghh...
GS_WORKER_UNHAPPY |= Underpaid and overworked.
GS_WORKER_UNHAPPY |= How can anyone live on these wages?
GS_WORKER_UNHAPPY |= I really can't be bothered.
GS_WORKER_UNHAPPY |= I hate this job.
GS_WORKER_UNHAPPY |= I don't feel very motivated.
GS_WORKER_UNHAPPY |= My boss is a ****.
GS_WORKER_NEUTRAL |= Another day, another bit of pay.
GS_WORKER_NEUTRAL |= Hope we have a good day.
GS_WORKER_NEUTRAL |= Got to look busy!
GS_WORKER_NEUTRAL |= Working in a shop...
GS_WORKER_NEUTRAL |= It's ok here.
GS_WORKER_NEUTRAL |= Hope the customers are nice today.
GS_WORKER_HAPPY |= Love working here.
GS_WORKER_HAPPY |= I like working here.
GS_WORKER_HAPPY |= Another good day I hope.
GS_WORKER_HAPPY |= Gotta keep busy.
GS_WORKER_HAPPY |= Service with a smile!
GS_WORKER_HAPPY |= Hope everyone is happy.
GS_WORKER_GREETING_UNHAPPY |= Yeah?
GS_WORKER_GREETING_UNHAPPY |= What do you want?
GS_WORKER_GREETING_UNHAPPY |= Hang on a second.
GS_WORKER_GREETING_UNHAPPY |= What's up?
GS_WORKER_GREETING_UNHAPPY |= Ugggh.
GS_WORKER_GREETING_UNHAPPY |= Are you buying anything or not?
GS_WORKER_GREETING_UNHAPPY |= Next!
GS_WORKER_GREETING_UNHAPPY |= Neeeexxxtt!
GS_WORKER_GREETING_UNHAPPY |= Whose next?
GS_WORKER_GREETING_UNHAPPY |= Who's next? Hurry up.
GS_WORKER_GREETING_UNHAPPY |= Next! Not got all day!
GS_WORKER_GREETING_UNHAPPY |= What is it?
GS_WORKER_GREETING_UNHAPPY |= Ugh. What do you want?
GS_WORKER_GREETING_NEUTRAL |= Hello.
GS_WORKER_GREETING_NEUTRAL |= Good day.
GS_WORKER_GREETING_NEUTRAL |= How can I help?
GS_WORKER_GREETING_NEUTRAL |= Next please.
GS_WORKER_GREETING_NEUTRAL |= Greetings.
GS_WORKER_GREETING_NEUTRAL |= Hello. Can I help?
GS_WORKER_GREETING_NEUTRAL |= Nice to see you. What can I do you for?
GS_WORKER_GREETING_NEUTRAL |= What can I do for you today?
GS_WORKER_GREETING_NEUTRAL |= What can I do for you?
GS_WORKER_GREETING_NEUTRAL |= Yes please?
GS_WORKER_GREETING_NEUTRAL |= Next in line, please.
GS_WORKER_GREETING_NEUTRAL |= Greetings. How can I help?
GS_WORKER_GREETING_HAPPY |= Welcome to our humble store!
GS_WORKER_GREETING_HAPPY |= How may I be of service?
GS_WORKER_GREETING_HAPPY |= Lovely to see you!
GS_WORKER_GREETING_HAPPY |= Hello there!
GS_WORKER_GREETING_HAPPY |= Greetings! How can I help?
GS_WORKER_GREETING_HAPPY |= Greetings!
GS_WORKER_GREETING_HAPPY |= A pleasure to see you.
GS_WORKER_GREETING_HAPPY |= How may I help you?
GS_WORKER_GREETING_HAPPY |= May I assist you?
GS_WORKER_GREETING_HAPPY |= May I assist you this fine day?
GS_WORKER_GREETING_HAPPY |= Lovely to see you. How may I help?
GS_WORKER_GREETING_HAPPY |= Welcome. How may I be of service?
GS_WORKER_GREETING_HAPPY |= Welcome. How may I help you this day?
GS_WORKER_GREETING_HAPPY |= Wonderful to see you. How may I help?
GS_WORKER_GREETING_HAPPY |= Warm greetings. How may I be of assistance?

GS_WORKER_SALE_UNHAPPY |= Yep, thanks.
GS_WORKER_SALE_UNHAPPY |= Bye.
GS_WORKER_SALE_UNHAPPY |= Hrrmmpph.
GS_WORKER_SALE_UNHAPPY |= Riddance.
GS_WORKER_SALE_UNHAPPY |= Uugghh.
GS_WORKER_SALE_UNHAPPY |= Ugh.
GS_WORKER_SALE_UNHAPPY |= Thanks, I suppose.
GS_WORKER_SALE_UNHAPPY |= Yeah, cheers.
GS_WORKER_SALE_UNHAPPY |= Next!
GS_WORKER_SALE_UNHAPPY |= *grunt*
GS_WORKER_SALE_UNHAPPY |= Bye.
GS_WORKER_SALE_UNHAPPY |= Yeah, bye.
GS_WORKER_SALE_UNHAPPY |= Humph.
GS_WORKER_SALE_UNHAPPY |= So long, sucker.
GS_WORKER_SALE_UNHAPPY |= Whatever.
GS_WORKER_SALE_NEUTRAL |= Goodbye.
GS_WORKER_SALE_NEUTRAL |= Thanks.
GS_WORKER_SALE_NEUTRAL |= Come again.
GS_WORKER_SALE_NEUTRAL |= Thank you.
GS_WORKER_SALE_NEUTRAL |= Farewell.
GS_WORKER_SALE_NEUTRAL |= Thank you.
GS_WORKER_SALE_NEUTRAL |= Thanks. Goodbye.
GS_WORKER_SALE_NEUTRAL |= Thanks. Farewell.
GS_WORKER_SALE_NEUTRAL |= Thanks for that.
GS_WORKER_SALE_NEUTRAL |= See you later.
GS_WORKER_SALE_NEUTRAL |= Cheers for your custom.
GS_WORKER_SALE_NEUTRAL |= Many thanks. Goodbye.
GS_WORKER_SALE_NEUTRAL |= Goddesses go with you.
GS_WORKER_SALE_NEUTRAL |= Appreciated.
GS_WORKER_SALE_HAPPY |= Thank you very much!
GS_WORKER_SALE_HAPPY |= Hope to see you again soon!
GS_WORKER_SALE_HAPPY |= Your custom is cherished.
GS_WORKER_SALE_HAPPY |= Thank you for your custom.
GS_WORKER_SALE_HAPPY |= Have a great day!
GS_WORKER_SALE_HAPPY |= See you again soon!
GS_WORKER_SALE_HAPPY |= Come again!
GS_WORKER_SALE_HAPPY |= Much gratitude.
GS_WORKER_SALE_HAPPY |= Hope you like your purchase!
GS_WORKER_SALE_HAPPY |= Much appreciated. Have a great day.
GS_WORKER_SALE_HAPPY |= Thank you so much.
GS_WORKER_SALE_HAPPY |= Thank you. Please come again.
GS_WORKER_SALE_HAPPY |= Kindest thanks. Come again.
GS_WORKER_SALE_HAPPY |= Thank you for your patronage.
GS_WORKER_SALE_HAPPY |= Farewell. Have a great day.
GS_WORKER_SALE_HAPPY |= Take care. Goddesses go with you.
GS_WORKER_SALE_HAPPY |= Have a wonderful day.
GS_WORKER_SALE_HAPPY |= Your custom is a blessing.

OpeningYourStore |= Interact with the sign outside to open and close your store.\nThe store will automatically close if you leave the region and have no worker employed.
Ledger |= The Ledger on your counter has tabs with various helpful pages for running your business.\nPress F1 or click in the left stick to view Help.
NoticeboardPopup |= Currently, this noticeboard serves as a reminder of events that happen in the region. If you look in your calendar, you should now see details about the Druida, Goods Market, Pig Racing and Pig Auction events in Festival Green.
COOKING_TASK_ANY |= Cook some food for {0} and deliver it between {1} and {2}.
COOKING_TASK_ANY |= {0} is after a cooked meal, deliver it between {1} and {2}.
COOKING_TASK_ANY |= {0} wants a cooked meal, deliver it between {1} and {2}.
COOKING_TASK_ANY_NOHOUR |= Cook some food for {0}.
COOKING_TASK_VEGFRUIT |= Cook some food using grown ingredients for {0} and deliver it between {1} and {2}.
COOKING_TASK_VEGFRUIT |= {0} is after a cooked meal using grown ingredients, deliver it between {1} and {2}.
COOKING_TASK_VEGFRUIT |= {0} wants a cooked meal using grown ingredients, deliver it between {1} and {2}.
COOKING_TASK_VEGFRUIT_NOHOUR |= Cook some food using grown ingredients for {0}.
COOKING_TASK_FISH |= Cook some food using fish for {0} and deliver it between {1} and {2}.
COOKING_TASK_FISH |= {0} is after a cooked fishy meal, deliver it between {1} and {2}.
COOKING_TASK_FISH |= {0} wants a cooked fishy meal, deliver it between {1} and {2}.
COOKING_TASK_FISH_NOHOUR |= Cook some food using fish for {0}.
COOKING_TASK_TURNIP |= Cook some food using turnips for {0} and deliver it between {1} and {2}.
COOKING_TASK_TURNIP_NOHOUR |= Cook some food using turnips for {0}.
COOKING_TASK_PIE |= Cook a pie for {0} and deliver it between {1} and {2}.
COOKING_TASK_PIE_NOHOUR |= Cook a pie for {0}.
COOKING_TASK_SPECIFIC_ITEM |= Cook a {item} for {0} and deliver it between {1} and {2}.
COOKING_TASK_SPECIFIC_ITEM_NOHOUR |= Cook a {item} for {0}.
COOKING_HEADER |= Cook wanted.
COOKING_HEADER |= I am hungry!
COOKING_HEADER |= Too busy to cook. Help!
COOKING_HEADER |= Can't cook, won't cook.
COOKING_HEADER |= Fast food wanted. Run!
COOKING_HEADER |= Taste sensation needed.
COOKING_HEADER |= Too busy to cook.
COOKING_HEADER_FISH |= Catch me supper?
COOKING_HEADER_PIE |= Fill me up. With pie.
COOKING_HEADER_STEW |= Are you stewing?
COOKING_HEADER_STEW |= Broth me up!
COOKING_HEADER_STEW |= Am stewing for stew.
COOKING_HEADER_SOUP |= Urge for good soup.
COOKING_HEADER_FRUIT |= Feeling fruity.
COOKING_HEADER_VEG |= I need my 5 a day.
COOKING_HEADER_VEG |= Veggie might help.
CureUseDesc |= Cures <VAR1>
CureUseSideEffectDesc |= Cures <VAR1> with side-effect
PartialCureUseDesc |= Partially Cures <VAR1>
PartialCureUseSideEffectDesc |= Partially Cures <VAR1> with sideeffect
FailedCureUseDesc |= Failed Cure <VAR1>
LOSTITEM_HEADER |= Finders not keepers.
LOSTITEM_HEADER |= Dropped something.
LOSTITEM_HEADER |= Whoops I did it again!
LOSTITEM_HEADER |= Lost something!
LOSTITEM_HEADER |= I lost it!
LOSTITEM_HEADER |= Lost item.
LOSTITEM_HEADER |= Help needed to find.
LOSTITEM_HEADER |= Misplaced item. Can you help?
WANTED_ITEM_TASK |= {0} wants item {1}
LOST_ITEM_TASK |= {0} lost an item {1} in {2}
LOST_ITEM_TASK |= {0} is searching for item {1} which got lost in {2}
LOST_ITEM_TASK |= {0} lost {1} in {2}
Uncle BillDay6BoughtPig |= Oh! You bought a pig! That will come in very handy. This farm is definitely on the up! Nice work! I can sense you will be a great entrepreneur one day!
SiblingDay6BoughtPig |= How did you afford that pig? Uncle Bill must be pleased. Nice to see you use some initiative!
Lucy ArrowsDay9Intro |= Oh, you got my letter and came! That's so great of you. I absolutely adore history and lore. For years I have studied this henge and have not unlocked its secrets. I personally believe it is a gateway to where the Fae live. I came across an old tome that mentioned shining a light at it.
Lucy ArrowsDay9Intro |= Would you try focusing your lantern beam on the henge while I watch for any signs of magic? Perhaps try standing on the circle and turn on your lantern, then use the right stick on gamepad or move your mouse cursor away to focus the beam.
Lucy ArrowsDay9Wrapup |= Hmmm, that doesn't seem to be it. I will keep trying to transcribe the book and see if there are any other special requirements. Thank you for your help. Here's 5 Brass for your trouble.
Ash BrownDay11Intro |= Ah, great to see you! I am so glad you came. I discovered a passage in a nature book about a butterfly called 'The Silver Skipper'. The legend says that if you throw a pear into the glowing pool by the Face Tree before 6pm, then it will appear. This is when you must use your jar and capture it!
Ash BrownDay11Intro |= Sadly I do not know exactly where this tree is, so if you look to the east side of Cuckoo Wood, that would be helpful. I shall be here if you need me. Here is a jar! Good luck!
Ash BrownFoundButterfly |= You found it! Amazing! The legend was true! It is so beautiful. I could stare at it all day, but finders keepers. You will make a great Naturalist. One day you should visit Irwyn, the Master. He lives in Pinehaven where the nature is meant to be incredible!
Ash BrownNotFoundButterfly |= Any luck? I found nothing. I suspect the legend was likely just someone seeing an Insured Admiral with sunlight glinting off it. Ah well, we tried. I bet Irwyn the Master Naturalist would have found it. He lives in Pinehaven and knows everything I bet!
SiblingDay13 |= Ah, you came. I was just feeling very wistful and was thinking about our real parents. Do you think they are out there somewhere, flittering around or snuggled up in a burrow somewhere?
SiblingDay13 |= I want to leave this place as soon as I reach adulthood. I find the Vale is too backwards and enclosed. I feel suffocated here.
SiblingDay13 |= I hope you will come with me, and we can be who we want to be and live how we want to live. And when the Goddesses call for us, we will gladly go to them and run around the fields as their children. Happy and free...I best get back to the farm.
Uncle BillDay13 |= Hello there. Your sibling seemed a bit maudlin earlier. They have gone for a walk in North Gate to clear the old head fog. Maybe go see what's the matter. First time they've left the farm. Always been a little cold that one. Hardworking and loyal but just a little closed. Not like you at all, really.
Pappy CoweBumpaINTRO |= Oi you! I need to ask yer sommat. I have a problem see. I love milk. I can't get enough of the stuff.\nCow milk is acceptable, but its creaminess is limited. What I need is the right kind of creature to milk. And that is where you come in.
Pappy CoweBumpaINTRO |= I heard a rumour you know how to see the Fae and visit them. I also know from being old and well-read that there exists a fairy creature...the Blobbalobbadobba or something silly like that. It is said the milk from one of those is richer than the Lawne's of Mellowfields. I would love to sup on that before I perish and likely come back as a newt.
Pappy CoweBumpaINTRO |= If you could get me some milk from one of those, then you can have the code to my own family secret box. My terrible family don't deserve to get their hands on my heirloom!
BUMPATASK_TITLE |= Bumbabloopfnoop milk for Pappy
BUMPATASK_DESC |= Get milk for Pappy from a Bumbabloopfnoop.
NewMail |= Think you have some mail.
NewMail |= Saw a new letter in the mailbox.
GoddessDayReminder |= Don't forget to worship!
GoddessDayReminder |= You have til midnight to gain the Goddesses' Favour!
GoddessDayReminder |= It's Goddess Day. Don't forget to worship.
GoddessDayReminder |= What boons will you pray for this Goddess Day?
GoddessDayReminder |= You look like someone who likes to make Goddess offerings!
GoddessDayReminder |= Have you made your offerings today?
GoddessDayReminder |= Worship day! Let's celebrate!
GoddessDayReminder |= I hope my offerings made a difference this week.
GoddessDayReminder |= Hi Ho silver! I love a good boon.
GoddessDayReminder |= Did you get good crops or bad craps from your worship?
CookedMealReactionPoor |= Erm, I guess you tried your best.
CookedMealReactionGood |= That was surprisingly delicious. Did Mother Hubbard teach you to make that? You are a master it seems.
CookedMealReactionGood |= The way to a person's heart is through their stomach. Unless you come in from the top end. That was a great meal though, and wonderful company.
CookedMealReactionGood |= Each mouthful endeared you to me more, and now I need to digest just how I feel after that.
CookedMealReactionGood |= That was so romantic. I am not washing the plates up, though. I need to look after my soft hands. You will appreciate the effort one day.
CookedMealReactionGood |= That was a delightful meal served with helpings of passion. You could taste the love poured and stirred into it.
CookedMealReactionGood |= There is nothing more intoxicating than eyes meeting over a table with a well-cooked meal at hand to nibble at.
CookedMealReactionGood |= That was really lovely! You cook with skill and care. Am looking forward to extra desserts one day.
CookMealPrep |= Your house is nice and cosy.
CookMealPrep |= What will you make?
CookMealPrep |= Am eager to taste your wares.
CookMealPrep |= Nice smell....hmmmm.
CookMealPrep |= Who did your flooring?
CookMealPrep |= This is very nice.
CookMealPrep |= I like someone who is good with their hands.
CookMealPrep |= Hoping it is as tasty as you.
CookMealPrep |= I love cooking. The aromas...
CookMealPrep |= Is that gluten-free? And what is gluten anyway?
VisitPlaceReaction |= It's so pretty here.
VisitPlaceReaction |= It is so lovely here.
VisitPlaceReaction |= This is a pleasant place.
VisitPlaceReaction |= I have always liked this place.
VisitPlaceReaction |= There's a nice smell in the air.
VisitPlaceReaction |= Isn't this romantic?
VisitPlaceReaction |= Very idyllic.
VisitPlaceReaction |= Just you and I here and all the insects.
VisitPlaceReaction |= We are alone...except for the watchful Goddesses, of course
VisitPlaceReaction |= Such a beautiful place.
VisitPlaceReaction |= I love it here.
VisitPlaceReaction |= This is nice.
VisitPlaceReaction |= Ahhh so peaceful.
VisitPlaceReaction |= Romantic don't you think?
VisitPlaceReaction |= I really like it here.
VisitPlaceReaction |= Do you come here often?
VisitPlaceReaction |= So much beauty in the world.
VisitPlaceReaction |= Alone at last.
VisitPlaceReaction |= It brings me inner peace being here.
VisitPlaceReaction |= Away from prying eyes. Except for the Goddesses.
VisitShowReaction |= I love coming to the pub...but this time is extra special.
VisitShowReaction |= There's a nice atmosphere in here. Perfect for dates, just like the one we are on.
VisitShowReaction |= Can't beat a lively tavern and the smell of drinks and vomit for a date. Yes, I know it was my idea.
VisitShowReaction |= I am having great fun! Love it in here!
VisitShowReaction |= Do you come here often? I have had a few dates here before, and really enjoy getting to know someone special over a drink and some entertainment.
VisitShowReaction |= Who's round is it next? Tell you what...you get these and I'll get you later.
DateGiftReaction |= For me?
DateGiftReaction |= Aww, you shouldn't have.
DateGiftReaction |= A gift? I am blessed.
DateGiftReaction |= How romantic!
DateGiftReaction |= That's sweet of you.
DateGiftReaction |= You are a sweetheart.
DateGiftReaction |= You know how to butter up this loaf!
DateGiftReaction |= How very kind.
DateEndingBadly |= That didn't go so well.
DateEndingBadly |= I thought you wanted this?!
DateTooLate |= It's too late; I need to go home now.
DateArrived |= You made it, I was wondering if you would.
DateEnjoyable |= This has been enjoyable; see you around!
MarriageStrollTooLate |= It's too late; I need to go home now.
MarriageTaskEndingBadly |= This is heartbreaking; we were so close to marrying!
PlayMusicReaction |= Such a talent.
PlayMusicReaction |= Get out! You're bard!
PlayMusicReaction |= Such sweet music.
PlayMusicReaction |= A lovely melody, like us.
PlayMusicReaction |= My heart flutters like a moth.
PlayMusicReaction |= So sweet!
PlayMusicReaction |= Music to my ears.
PlayMusicReaction |= Are you trying to seduce me?
PlayMusicReaction |= I like your melodies.
PlayMusicReaction |= Play me something I know.
PlayMusicReaction |= Such sweet music you make.
PlayMusicReaction |= La la la la la.
PlayMusicReaction |= You can melt a heart with this music.
PlayMusicReaction |= I have a weakness for beautiful music.
PlayMusicReaction |= So seductive.
PlayMusicReaction |= I love rock music. Hitting rocks with sticks.
BindingBandAccepted |= Goddesses bless us! Now we must pick the date!
BindingBandAccepted |= Our marriage is on! This is such a great day! I love you!
BindingBandAccepted |= Oh the Band! I accept heartily. Let us choose the day.
BindingBandAccepted |= You got the Band...for me. You proved your worth and I am yours.
BindingBandAccepted |= Oooh marriage! Let's set the date!
BindingBandRejected |= This is not for me.
BindingBandDeliverInPerson |= You need to give me this in person.
BindingBandDateSelected |= Perfect! I can't wait for the day!
BindingBandDateSelected |= Oh it's so exciting! I must change my underwear ready for the big day!
BindingBandDateSelected |= Wonderful! I couldn't have picked a better day myself.
BindingBandDateSelected |= It's a date! Be there or be square. By that I mean, turn up on time or I'll put you in a box.
BindingBandDateSelected |= A perfect date for a perfect couple! I can't wait to marry you!
BindingBandDateSelected |= Ohhh! My favourite number and day of the week! It was destined!
BindingBandDateSelected |= I am dizzy with the thought we will soon be married. The spirit of love is strong with us.
BindingBandDateSelected |= A wonderful date! Let us marry then and produce many offspring. Well, up to three.
Day2MarriageStep |= Take your partner to visit a place
Day2MarriageDesc |= Use the interaction menu and get them to Follow you
Day3MarriageStep |= Pick {Collected}/{Needed} Charmweed
Day4MarriageStep |= Gather an Egg
Day5MarriageStep |= Gather some Flour
Day6MarriageStep |= Bake the Pie of You and I
Day7MarriageStep |= Give the Pie of You and I to the Priest in Loverwood
Day7BandStep |= Deliver the binding band!
ReactToRose |= For me? Really?! I didn't expect this!
ReactToRose |= You picked the rose? For me?
ReactToRose |= This is the happiest day of this week!
ReactToRose |= A White Rose! And it's real!
ReactToRose |= I can't believe you proposed.
ReactToRose |= That is the most romantic thing that has happened to me today.
ReactToRose |= A proposal! But can you prove your worth?
RoadToMarriagePositive |= I love a good wedding.
RoadToMarriagePositive |= I hope you succeed!
RoadToMarriagePositive |= Don't forget your ritual tasks!
RoadToMarriagePositive |= Prove your worth! Prove your worth!
RoadToMarriagePositive |= There they go! Proving their worth!
RoadToMarriageNegative |= Hmmpph.
RoadToMarriageNegative |= Unlucky for your spouse to be.
RoadToMarriageNegative |= Prove your worth? Pah! Worthless.
RoadToMarriageNegative |= I bet you will make a great spouse. I bet zero Brass.
RoadToMarriageNegative |= I hope you fail.
RoadToMarriageNegative |= I don't think you are worthy.
Day2NPCHint |= Ask me to Follow you and take me to a place of my choosing!
Day3NPCHint |= Don't forget to pick that Charmweed!
Day3NPCHint |= Charmweed is common in Summerdown.
Day4NPCHint |= Today you must gather an egg, remember?
Day5NPCHint |= Have you got the flour for the pie yet?
Day6NPCHint |= Are you baking the pie today?
Day6NPCHint |= You have a kiln at home to bake the pie don't you?
Day7NPCHint |= Are you going to give that pie to the Priest in Loverwood?
Day7NPCHint |= So excited! All you need to do is give the Priest the pie!
Day8NPCHint |= I can't wait for our wedding day!
OfferingForBinding |= Your offering is accepted by the Goddesses. Take your Band of Binding and Gift it to your beloved.
Veg RarneyINTRO |= Alright, my little turnip! Nice to see a new face in these here parts. Much better than lookin' at old onion face across the way!
Ken TillerINTRO |= Hullo my little onion! What brings you to our green and pleasant land? Well, it would be much more pleasant if his-nibs took his ugly turnips and trotted off somewhere else. Preferably as far north as possible.
FamilySecretScrambled |= Failed to unlock; code is now scrambled to uncover again!
DiggingHELP |= To win at this minigame, you get a number of taps (based on the quality of your spade). Each tap reveals a number of how close the correct digging spot is without using diagonals to reach. After placing the taps you then have to dig at a square. Success will take you to the next depth or to a reward depending on where one might be. Failure will collapse the hole and mean you have to try again at another location!
FamilySecretHELP |= These boxes contain secret items that families have collected. Gain enough friendship with the family members to uncover the codes. If you guess incorrectly, the code resets and you will have to gather the code again.
Finn CrustAppleBreadIntro |= Say, you couldn't make an Apple Pie, could you? It's a Vale delicacy and would really go well in our good store. I can offer you a recipe for our home-baked Apple Bread if you can.
APPLEBREAD_TITLE |= An Apple Pie for Finn Crust
APPLEBREAD_DESC |= If you can make an apple pie for Finn then you can get hold of the famous Apple Bread recipe.
Mo LawnINTRO |= I hope you are not here to try to sell anything? We have everything we need.
Greene LawnINTRO |= Good day to you. I am Greene, just like my prize-winning gardens. I hope you are not going to lower the tone around here.
Goldie LawnINTRO |= You look like a proper ninnock! Were you dragged through the ugly bush before you were beaten with the ugly stick?
Dick TurnipINTRO |= What in Freyl's chaff do you want? Come to look on the ruins of my life?
Kat TurnipINTRO |= Hello.  Not seen you before. I wouldn't bother hanging around these parts. Things have been depressing ever since those Lawns took over.
Luca TurnipINTRO |= Hello. You look like one of pa's turnips. My name is Luca Turnip...as in "Look! A turnip!"
Thomas SteelINTRO |= Ho there! Need anything forgin'? Best blacksmiths in Quill. Our anvil is at your service.
Star SapphireINTRO |= Hey there! I am Star. I am not very famous, though. I soooo wanna be a bard like my heroine, Lyric. She's the real star!
Rake GrassbeardINTRO |= Good greetings. I am Rake Grassbeard. I am the guy who can get it for you. Charmweed, Rainbow Mushrooms...if you are partial. Maybe some Dragonsbayne to celebrate your kids coming of age?
Sprouts OnionsINTRO |= Greetings. I am Sprouts, Rake's friend. He runs the goods store and is well known around Quill. I just keep the house tidy. Need anything, talk to him. He's the man with the flan.
Eun LivingstunINTRO |= Have any of your fantasies involved fighting? Come across any deathtraps? You should visit my workshop. It is full of games! Life is one big role-playing game, isn't it?
Steef JaxonINTRO |= You see a stranger. Do you...say hello politely? (Turn to Page 27). Ignore them? (Turn to Page 101)
Dee SpencerINTRO |= Welcome, welcome! Nice to see a new face in these parts. And a pretty one! Looks like you don't even need cream. What's your secret?
Papa Russ EbersINTRO |= I have been a chemist ever since I could rub two leaves together. Got the farts? A bad heart? I can help and you might not even need amputation!
